split,model,roc_auc,pr_auc,brier
A_random,logistic,0.9055859131328717,0.7703207334161069,0.1043107183760332
A_random,tree,0.9254577809627984,0.8252023813219461,0.09166310868566875
B_age_shift,logistic,0.8175564177780492,0.7055056327326491,0.21784885064368742
B_age_shift,tree,0.8899003601178996,0.8358746973471551,0.13003079338459372
